OmaTunniste;kunta;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;Rovaniemi;20040101;2004;1;1;470000;7390000;-26.9;-24.5;-31.4;0.3;115.7;0.4
;Rovaniemi;20040102;2004;1;2;470000;7390000;-22;-14.7;-26.7;0.6;91.2;0.69
;Rovaniemi;20040103;2004;1;3;470000;7390000;-10.7;-8.5;-24;0.3;98.5;2.24
;Rovaniemi;20040104;2004;1;4;470000;7390000;-12.6;-8.6;-13.5;0.3;90.1;1.83
;Rovaniemi;20040105;2004;1;5;470000;7390000;-16.1;-13.5;-20.4;0.3;66.2;1.29
;Rovaniemi;20040106;2004;1;6;470000;7390000;-17.5;-15.8;-21.2;0.2;90.2;1.12
;Rovaniemi;20040107;2004;1;7;470000;7390000;-7.8;-2.9;-17.1;1.6;106.1;2.91
;Rovaniemi;20040108;2004;1;8;470000;7390000;-2.5;-1.8;-3.2;0;64.7;4.66
;Rovaniemi;20040109;2004;1;9;470000;7390000;-2.5;-0.8;-5.4;0.5;73.7;4.66
;Rovaniemi;20040110;2004;1;10;470000;7390000;-2.6;-0.6;-3.5;0.1;129.6;4.36
;Rovaniemi;20040111;2004;1;11;470000;7390000;-4.6;-2.6;-5.7;0.7;151;3.77
;Rovaniemi;20040112;2004;1;12;470000;7390000;-8.8;-5.6;-9.2;0.4;120.3;2.6
;Rovaniemi;20040113;2004;1;13;470000;7390000;-7.5;-3.5;-10.9;0.8;94.6;2.91
;Rovaniemi;20040114;2004;1;14;470000;7390000;-3.8;-2.8;-4.9;1.9;181.8;4.14
;Rovaniemi;20040115;2004;1;15;470000;7390000;-5.9;-4.9;-6.5;1.6;138.2;3.49
;Rovaniemi;20040116;2004;1;16;470000;7390000;-8.3;-5.1;-14.1;1.6;166.5;2.78
;Rovaniemi;20040117;2004;1;17;470000;7390000;-15.8;-11;-21.5;0.6;215.8;1.33
;Rovaniemi;20040118;2004;1;18;470000;7390000;-21.1;-15.8;-27.5;0.4;267.6;0.76
;Rovaniemi;20040119;2004;1;19;470000;7390000;-17.4;-10.1;-28;0.3;279.2;1.12
;Rovaniemi;20040120;2004;1;20;470000;7390000;-14.8;-11.2;-18.7;0.4;422.9;1.37
;Rovaniemi;20040121;2004;1;21;470000;7390000;-12.6;-9.5;-18.5;0;319;1.76
;Rovaniemi;20040122;2004;1;22;470000;7390000;-22.4;-13.5;-28.5;0.1;544.8;0.67
;Rovaniemi;20040123;2004;1;23;470000;7390000;-4.7;-3.2;-17.5;1.4;382.2;3.78
;Rovaniemi;20040124;2004;1;24;470000;7390000;-1.6;-0.1;-3.2;0.9;257.4;5.01
;Rovaniemi;20040125;2004;1;25;470000;7390000;-2;0.2;-4.1;0;217.6;4.74
;Rovaniemi;20040126;2004;1;26;470000;7390000;-8.8;-4.1;-11.2;2.7;276.1;2.52
;Rovaniemi;20040127;2004;1;27;470000;7390000;-6.1;-3.9;-9.8;5.7;260.7;3.37
;Rovaniemi;20040128;2004;1;28;470000;7390000;-8.1;-4.5;-9.5;2;448.4;2.79
;Rovaniemi;20040129;2004;1;29;470000;7390000;-9.6;-7.6;-12;1;446.9;2.43
;Rovaniemi;20040130;2004;1;30;470000;7390000;-9.7;-7.1;-12.6;3.4;511.1;2.44
;Rovaniemi;20040131;2004;1;31;470000;7390000;-10.1;-7.4;-13.8;3.1;625.6;2.32
;Rovaniemi;20040201;2004;2;1;470000;7390000;-9.2;-3.5;-14.3;0;523.4;2.44
;Rovaniemi;20040202;2004;2;2;470000;7390000;-15.3;-7.3;-25.7;5.3;966.5;1.42
;Rovaniemi;20040203;2004;2;3;470000;7390000;-7.1;-0.7;-16.2;0.7;565.2;3.08
;Rovaniemi;20040204;2004;2;4;470000;7390000;-4.8;-4;-16;8.3;427.3;3.85
;Rovaniemi;20040205;2004;2;5;470000;7390000;-7.5;-3.5;-10.7;0.2;1244.8;2.82
;Rovaniemi;20040206;2004;2;6;470000;7390000;-13.7;-9.3;-19;1.5;929.6;1.66
;Rovaniemi;20040207;2004;2;7;470000;7390000;-19.3;-10.2;-27.5;0;1406.3;0.91
;Rovaniemi;20040208;2004;2;8;470000;7390000;-21.1;-18.3;-29.1;0.8;1185.1;0.77
;Rovaniemi;20040209;2004;2;9;470000;7390000;-21;-16.5;-24.2;0.6;1664.9;0.77
;Rovaniemi;20040210;2004;2;10;470000;7390000;-19.7;-12.6;-25.8;0;1950.8;0.86
;Rovaniemi;20040211;2004;2;11;470000;7390000;-23;-15.2;-32.7;0;2467.5;0.62
;Rovaniemi;20040212;2004;2;12;470000;7390000;-13.7;-7.6;-28.3;1.1;1055.4;1.6
;Rovaniemi;20040213;2004;2;13;470000;7390000;-11.5;-4.5;-21.4;1.8;1031.8;2.06
;Rovaniemi;20040214;2004;2;14;470000;7390000;-2.8;-0.2;-5.6;0.4;1363.3;4.39
;Rovaniemi;20040215;2004;2;15;470000;7390000;-3.7;-0.9;-4.8;0;2209.9;4.02
;Rovaniemi;20040216;2004;2;16;470000;7390000;-11.3;-4.1;-18.3;3.8;2178.1;2.11
;Rovaniemi;20040217;2004;2;17;470000;7390000;-11;-9;-17.6;0.5;2371;2.11
;Rovaniemi;20040218;2004;2;18;470000;7390000;-12.6;-10.3;-15.3;0.1;2254.1;1.78
;Rovaniemi;20040219;2004;2;19;470000;7390000;-7.4;-2.5;-16.7;0.9;1281.4;3.04
;Rovaniemi;20040220;2004;2;20;470000;7390000;3;5.5;-2.7;0;1960.9;6.4
;Rovaniemi;20040221;2004;2;21;470000;7390000;0.5;5.2;-3.3;4;1848;5.21
;Rovaniemi;20040222;2004;2;22;470000;7390000;-7.9;-1.8;-17.6;0.1;3870.1;2.61
;Rovaniemi;20040223;2004;2;23;470000;7390000;-22.1;-9.1;-28.7;0;3942.1;0.67
;Rovaniemi;20040224;2004;2;24;470000;7390000;-18.5;-9.1;-30.6;0;4343;0.94
;Rovaniemi;20040225;2004;2;25;470000;7390000;-10.9;-8.5;-14;1.6;2966.6;1.93
;Rovaniemi;20040226;2004;2;26;470000;7390000;-9.2;-6.8;-11.3;0.5;2180.8;2.47
;Rovaniemi;20040227;2004;2;27;470000;7390000;-12.8;-9;-21.1;0.1;4082.6;1.76
;Rovaniemi;20040228;2004;2;28;470000;7390000;-22.3;-11.2;-29.8;0;4342.3;0.65
;Rovaniemi;20040229;2004;2;29;470000;7390000;-18;-7.6;-28.8;3.1;4933.1;1.03
;Rovaniemi;20040301;2004;3;1;470000;7390000;-10.8;-5.8;-18.1;0;2620.8;2.05
;Rovaniemi;20040302;2004;3;2;470000;7390000;-14.3;-4.1;-29.3;0;3083.8;1.41
;Rovaniemi;20040303;2004;3;3;470000;7390000;-9.7;-4.4;-17.1;0;6184.5;2.11
;Rovaniemi;20040304;2004;3;4;470000;7390000;-16.3;-3.8;-26.3;0;5449.4;1.05
;Rovaniemi;20040305;2004;3;5;470000;7390000;-15;-6.3;-24.1;0;5969.7;1.3
;Rovaniemi;20040306;2004;3;6;470000;7390000;-10.4;-5.7;-16.5;0.1;3781.9;2.03
;Rovaniemi;20040307;2004;3;7;470000;7390000;-7.6;0.7;-17.7;0;4463.5;2.67
;Rovaniemi;20040308;2004;3;8;470000;7390000;-9.3;-0.5;-18.6;0;6789;2.19
;Rovaniemi;20040309;2004;3;9;470000;7390000;-9.9;0.8;-22.3;0;6310.4;1.97
;Rovaniemi;20040310;2004;3;10;470000;7390000;-8;3.3;-16.7;0;6724.3;2.55
;Rovaniemi;20040311;2004;3;11;470000;7390000;-6.3;4.1;-15.2;0;7535.7;3.01
;Rovaniemi;20040312;2004;3;12;470000;7390000;-5;-3.2;-6.3;0;3911.8;3.84
;Rovaniemi;20040313;2004;3;13;470000;7390000;-6.3;-4.5;-7.2;0;6703.9;3.32
;Rovaniemi;20040314;2004;3;14;470000;7390000;-5.5;1.7;-17;1.2;5687.2;3.24
;Rovaniemi;20040315;2004;3;15;470000;7390000;0.5;1.4;-1.6;3.4;2394.2;6.14
;Rovaniemi;20040316;2004;3;16;470000;7390000;0.7;1.6;0.1;3.6;2341.4;6.09
;Rovaniemi;20040317;2004;3;17;470000;7390000;-3;1.1;-8.3;0;5680;4.18
;Rovaniemi;20040318;2004;3;18;470000;7390000;-0.5;0.8;-1.6;0.1;5460.4;4.95
;Rovaniemi;20040319;2004;3;19;470000;7390000;-0.7;2;-2.9;0;4740;4.96
;Rovaniemi;20040320;2004;3;20;470000;7390000;0.7;3.8;-3.5;0;4699.1;5.04
;Rovaniemi;20040321;2004;3;21;470000;7390000;-1;2.1;-2.3;0;4330.1;4.18
;Rovaniemi;20040322;2004;3;22;470000;7390000;-5.7;-2.2;-9;1.1;5341.1;2.88
;Rovaniemi;20040323;2004;3;23;470000;7390000;-6.1;-3.9;-7;0.7;6746.4;2.91
;Rovaniemi;20040324;2004;3;24;470000;7390000;-6.9;-3.2;-9.9;0.4;6450.4;2.76
;Rovaniemi;20040325;2004;3;25;470000;7390000;-7.8;-4.6;-8.8;0;9440.8;2.26
;Rovaniemi;20040326;2004;3;26;470000;7390000;-8.7;-3.5;-17.6;3.7;10810;2
;Rovaniemi;20040327;2004;3;27;470000;7390000;-4.9;-2.9;-7.6;1;7308.7;3.71
;Rovaniemi;20040328;2004;3;28;470000;7390000;-1.9;1.8;-4.5;0;7376.3;4.34
;Rovaniemi;20040329;2004;3;29;470000;7390000;-5.1;2.7;-19.2;0;8605.6;3.11
;Rovaniemi;20040330;2004;3;30;470000;7390000;-2.2;1.2;-4.1;0.3;6801.3;4.57
;Rovaniemi;20040331;2004;3;31;470000;7390000;-5.2;-1.5;-7.2;0;12773.9;2.55
;Rovaniemi;20040401;2004;4;1;470000;7390000;-9.3;-1.5;-17.3;0;14902.2;1.83
;Rovaniemi;20040402;2004;4;2;470000;7390000;-7.3;1.9;-22.1;0;14439.4;2.52
;Rovaniemi;20040403;2004;4;3;470000;7390000;-1.1;5.2;-4.3;0;11230.1;4.55
;Rovaniemi;20040404;2004;4;4;470000;7390000;-1.5;4.5;-4;0;12589.3;4.36
;Rovaniemi;20040405;2004;4;5;470000;7390000;-2.7;8.5;-16.3;0;15061.9;3.17
;Rovaniemi;20040406;2004;4;6;470000;7390000;-0.6;9.6;-12.5;0;15577.7;3.98
;Rovaniemi;20040407;2004;4;7;470000;7390000;0;9.4;-11.7;0;15877.8;4.09
;Rovaniemi;20040408;2004;4;8;470000;7390000;0.8;8.3;-10.6;0;12256.2;4.37
;Rovaniemi;20040409;2004;4;9;470000;7390000;2.5;5.5;0.6;6.1;6278.2;5.93
;Rovaniemi;20040410;2004;4;10;470000;7390000;0.7;5;-1.2;0;12768;4.3
;Rovaniemi;20040411;2004;4;11;470000;7390000;-1.7;4.2;-9.7;0;15888.9;3.64
;Rovaniemi;20040412;2004;4;12;470000;7390000;-0.9;5.2;-9.9;0;15307.4;3.83
;Rovaniemi;20040413;2004;4;13;470000;7390000;-1;5.5;-10.4;3.6;16884.3;3.41
;Rovaniemi;20040414;2004;4;14;470000;7390000;1.1;4.2;-1.9;0.7;5795.5;5.86
;Rovaniemi;20040415;2004;4;15;470000;7390000;3.9;8.3;0.5;0;9947.5;5.8
;Rovaniemi;20040416;2004;4;16;470000;7390000;2.8;7.2;-3.1;0;12468.8;5.94
;Rovaniemi;20040417;2004;4;17;470000;7390000;4.4;7.8;1.7;0;14854.6;6.45
;Rovaniemi;20040418;2004;4;18;470000;7390000;2.9;10.2;-3.4;0;14552.5;5.75
;Rovaniemi;20040419;2004;4;19;470000;7390000;4.2;9.5;-1.5;0;11466.5;6.06
;Rovaniemi;20040420;2004;4;20;470000;7390000;0;5.3;-0.9;0;11382.5;4.68
;Rovaniemi;20040421;2004;4;21;470000;7390000;-1.7;2.6;-4.7;0;18771;3.25
