OmaTunniste;kunta;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;Vaala;20040101;2004;1;1;510000;7180000;-24.6;-17.3;-26.6;0.1;237.9;0.56
;Vaala;20040102;2004;1;2;510000;7180000;-17;-10;-25.4;0.1;215.3;1.23
;Vaala;20040103;2004;1;3;510000;7180000;-15;-9.6;-18.1;0.5;190.1;1.48
;Vaala;20040104;2004;1;4;510000;7180000;-12;-11.1;-15.4;0.8;182.7;2.01
;Vaala;20040105;2004;1;5;510000;7180000;-12;-10.6;-12.8;0.5;150.1;1.97
;Vaala;20040106;2004;1;6;510000;7180000;-16.3;-12.6;-21;1;172.1;1.31
;Vaala;20040107;2004;1;7;510000;7180000;-7.2;-4.5;-15.6;2;194.3;3.08
;Vaala;20040108;2004;1;8;510000;7180000;-3.9;-3;-4.5;1.3;135.4;4.16
;Vaala;20040109;2004;1;9;510000;7180000;-3.6;-2.5;-4.2;0;139.5;4.34
;Vaala;20040110;2004;1;10;510000;7180000;-4.4;-3;-6.7;0;221.1;3.93
;Vaala;20040111;2004;1;11;510000;7180000;-9.4;-6.1;-13;0;369.2;2.4
;Vaala;20040112;2004;1;12;510000;7180000;-11.1;-9.8;-14;1.1;211;2.15
;Vaala;20040113;2004;1;13;510000;7180000;-6.6;-3.3;-10.3;2;124.8;3.3
;Vaala;20040114;2004;1;14;510000;7180000;-4.4;-3;-5.6;0.2;407.5;3.96
;Vaala;20040115;2004;1;15;510000;7180000;-8.7;-5.4;-13;2.9;289.9;2.64
;Vaala;20040116;2004;1;16;510000;7180000;-11.8;-9.4;-15.1;0.5;333.6;2.02
;Vaala;20040117;2004;1;17;510000;7180000;-10.2;-7.4;-14.1;2.6;334.4;2.37
;Vaala;20040118;2004;1;18;510000;7180000;-11.7;-7.4;-16.2;0.8;429.2;2.02
;Vaala;20040119;2004;1;19;510000;7180000;-17.6;-14;-22.5;0.4;430.9;1.15
;Vaala;20040120;2004;1;20;510000;7180000;-19;-13;-23.4;0.4;634.4;0.99
;Vaala;20040121;2004;1;21;510000;7180000;-17.1;-14;-22.2;0;556.3;1.2
;Vaala;20040122;2004;1;22;510000;7180000;-20.3;-16.8;-24.2;0.2;677.7;0.86
;Vaala;20040123;2004;1;23;510000;7180000;-11.6;-6.5;-23.9;0.5;691.1;2.12
;Vaala;20040124;2004;1;24;510000;7180000;-1.7;0.2;-6.5;0.1;363.9;5.27
;Vaala;20040125;2004;1;25;510000;7180000;-4.6;0.4;-8.4;0.1;387.6;3.81
;Vaala;20040126;2004;1;26;510000;7180000;-9.8;-8.4;-11.8;0.9;454.6;2.44
;Vaala;20040127;2004;1;27;510000;7180000;-6.4;-3.9;-9.4;3;463.2;3.21
;Vaala;20040128;2004;1;28;510000;7180000;-8;-6.1;-8.5;1.9;814.4;2.78
;Vaala;20040129;2004;1;29;510000;7180000;-8;-6.8;-8.9;2.2;619.6;2.84
;Vaala;20040130;2004;1;30;510000;7180000;-8.8;-7.9;-9.8;2.6;867.1;2.64
;Vaala;20040131;2004;1;31;510000;7180000;-8.7;-6.2;-11.4;4.6;625.2;2.63
;Vaala;20040201;2004;2;1;510000;7180000;-4.4;-1.9;-7.6;0.5;426.3;3.81
;Vaala;20040202;2004;2;2;510000;7180000;-8.7;-5.1;-14.6;0.2;823.6;2.71
;Vaala;20040203;2004;2;3;510000;7180000;-4.8;-3.8;-6.6;8.9;501.9;3.83
;Vaala;20040204;2004;2;4;510000;7180000;-1.9;0.4;-4.4;9.3;513.1;5.13
;Vaala;20040205;2004;2;5;510000;7180000;-7.8;-2;-11.6;0.1;1134.4;2.9
;Vaala;20040206;2004;2;6;510000;7180000;-14.2;-10.4;-19;0.7;1228;1.59
;Vaala;20040207;2004;2;7;510000;7180000;-15.2;-10;-18.6;0.3;1635.8;1.43
;Vaala;20040208;2004;2;8;510000;7180000;-17.4;-15;-22.2;0;1644.6;1.18
;Vaala;20040209;2004;2;9;510000;7180000;-18;-15;-23.9;0.4;1866.3;1.07
;Vaala;20040210;2004;2;10;510000;7180000;-22.2;-17;-29;0.3;1950.3;0.71
;Vaala;20040211;2004;2;11;510000;7180000;-25.3;-21.1;-28;0;2924.4;0.51
;Vaala;20040212;2004;2;12;510000;7180000;-16.3;-6.8;-28.1;0.5;1542.9;1.28
;Vaala;20040213;2004;2;13;510000;7180000;-3.9;-0.8;-6.8;2;1331.4;4.38
;Vaala;20040214;2004;2;14;510000;7180000;-3.1;0;-4.9;1.1;1633.7;4.53
;Vaala;20040215;2004;2;15;510000;7180000;-4.4;-2.1;-8.4;0.4;1842.3;4.07
;Vaala;20040216;2004;2;16;510000;7180000;-9.8;-4.1;-15.4;3.4;3469.3;2.42
;Vaala;20040217;2004;2;17;510000;7180000;-10.5;-9.3;-13.1;0.9;2928.9;2.16
;Vaala;20040218;2004;2;18;510000;7180000;-18;-10.8;-22.1;0;3778.3;1.08
;Vaala;20040219;2004;2;19;510000;7180000;-8.4;-4.3;-16.4;0.6;1451.7;2.81
;Vaala;20040220;2004;2;20;510000;7180000;1.3;5.7;-4.3;0;2697;5.75
;Vaala;20040221;2004;2;21;510000;7180000;2.5;4.4;0.8;0;2944.5;5.8
;Vaala;20040222;2004;2;22;510000;7180000;-2.7;1;-7.3;0;3682.4;3.65
