OmaTunniste;Kunta;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;Hameenlinna;20040101;2004;1;1;400000;6790000;-12.3;-4.6;-16.6;0;1076.7;1.89
;Hameenlinna;20040102;2004;1;2;400000;6790000;-19.8;-16.5;-22.1;0;1072.7;0.89
;Hameenlinna;20040103;2004;1;3;400000;6790000;-14.6;-9.7;-22.5;0;1198.9;1.52
;Hameenlinna;20040104;2004;1;4;400000;6790000;-6.8;-5.3;-13.3;2.2;355.6;3.24
;Hameenlinna;20040105;2004;1;5;400000;6790000;-5.6;-2.8;-8.3;0.5;327.2;3.64
;Hameenlinna;20040106;2004;1;6;400000;6790000;-7;-5.6;-11.5;0.6;514.7;3.21
;Hameenlinna;20040107;2004;1;7;400000;6790000;-4;-2.8;-5.6;0;870.4;4.07
;Hameenlinna;20040108;2004;1;8;400000;6790000;-5.5;-4.6;-6.4;1.6;288.7;3.63
;Hameenlinna;20040109;2004;1;9;400000;6790000;-6.8;-4.8;-8.7;0;539.3;3.3
;Hameenlinna;20040110;2004;1;10;400000;6790000;-11.2;-8.6;-12.1;0;566;2.16
;Hameenlinna;20040111;2004;1;11;400000;6790000;-9.6;-8.7;-12;0.6;470.3;2.51
;Hameenlinna;20040112;2004;1;12;400000;6790000;-7.3;-6.4;-9.3;0.4;371.1;3.09
;Hameenlinna;20040113;2004;1;13;400000;6790000;-1.2;-0.4;-6.4;2;323.1;5.48
;Hameenlinna;20040114;2004;1;14;400000;6790000;-4.3;-1;-6.7;1.4;368.6;4.11
;Hameenlinna;20040115;2004;1;15;400000;6790000;-5.7;-4.7;-6.9;1.6;877;3.58
;Hameenlinna;20040116;2004;1;16;400000;6790000;-8.8;-6.5;-11.8;1.3;783;2.7
;Hameenlinna;20040117;2004;1;17;400000;6790000;-6.7;-4.7;-8.2;0;601.7;3.34
;Hameenlinna;20040118;2004;1;18;400000;6790000;-6.7;-5;-11.1;1.2;732.7;3.33
;Hameenlinna;20040119;2004;1;19;400000;6790000;-11.8;-5.2;-18.8;0;691.8;2.01
;Hameenlinna;20040120;2004;1;20;400000;6790000;-16.2;-13.5;-19;0;2121;1.3
;Hameenlinna;20040121;2004;1;21;400000;6790000;-17.6;-13.3;-22.5;0;1919.7;1.13
;Hameenlinna;20040122;2004;1;22;400000;6790000;-15.4;-12.2;-17.3;0;1982.5;1.41
;Hameenlinna;20040123;2004;1;23;400000;6790000;-13.5;-4.3;-23.1;0.4;1482.5;1.7
;Hameenlinna;20040124;2004;1;24;400000;6790000;-1.8;-1;-4.3;0;738.1;4.97
;Hameenlinna;20040125;2004;1;25;400000;6790000;-8;-2.3;-11.8;0.2;1101.7;2.84
;Hameenlinna;20040126;2004;1;26;400000;6790000;-8;-6.2;-11.3;0.8;1357.2;2.92
;Hameenlinna;20040127;2004;1;27;400000;6790000;-6.2;-4.1;-8.2;2.4;810.6;3.37
;Hameenlinna;20040128;2004;1;28;400000;6790000;-6.3;-5.4;-7.3;2.1;1187.7;3.34
;Hameenlinna;20040129;2004;1;29;400000;6790000;-5.6;-5.1;-6.4;2.1;1351.4;3.58
;Hameenlinna;20040130;2004;1;30;400000;6790000;-6.3;-5;-9.2;0.8;1650;3.4
;Hameenlinna;20040131;2004;1;31;400000;6790000;-5.2;-2.8;-7.3;23.4;641.3;3.74
;Hameenlinna;20040201;2004;2;1;400000;6790000;-1.7;-0.8;-2.9;0;745.7;5.1
;Hameenlinna;20040202;2004;2;2;400000;6790000;-6.3;-0.7;-13.2;0;1553.6;3.33
;Hameenlinna;20040203;2004;2;3;400000;6790000;-4;-3.1;-5.6;7.8;1056.2;4.15
;Hameenlinna;20040204;2004;2;4;400000;6790000;1;2.8;-3.4;1.7;586.3;6.49
;Hameenlinna;20040205;2004;2;5;400000;6790000;-0.9;2.5;-4.9;0.8;1102.4;5.33
;Hameenlinna;20040206;2004;2;6;400000;6790000;-6.7;-4.7;-11.8;0.2;1464.6;3.27
;Hameenlinna;20040207;2004;2;7;400000;6790000;-6.6;-4.9;-9.7;0;2346.7;3.23
;Hameenlinna;20040208;2004;2;8;400000;6790000;-12.7;-9.6;-18.1;2.9;3325.9;1.84
;Hameenlinna;20040209;2004;2;9;400000;6790000;-11.1;-9;-12.8;0;2519;2.13
;Hameenlinna;20040210;2004;2;10;400000;6790000;-14.9;-10.7;-19;0;4501;1.44
;Hameenlinna;20040211;2004;2;11;400000;6790000;-16.2;-13.1;-19;0;4671.9;1.22
;Hameenlinna;20040212;2004;2;12;400000;6790000;-15.3;-10;-22.9;1.3;3077.1;1.36
;Hameenlinna;20040213;2004;2;13;400000;6790000;-4;-0.5;-12.8;0;1791.9;4.22
;Hameenlinna;20040214;2004;2;14;400000;6790000;0.2;1.3;-1.4;0;1885.7;5.92
;Hameenlinna;20040215;2004;2;15;400000;6790000;-1.5;0.3;-2.8;0.4;2892.5;5.04
;Hameenlinna;20040216;2004;2;16;400000;6790000;-4.2;-0.6;-6.8;3.2;4608.8;3.68
;Hameenlinna;20040217;2004;2;17;400000;6790000;-5.1;-1.8;-10.7;5;2104;3.74
;Hameenlinna;20040218;2004;2;18;400000;6790000;-13;-6.1;-16.8;0;5795.7;1.67
;Hameenlinna;20040219;2004;2;19;400000;6790000;-14.6;-7.9;-24.1;0.7;3659.1;1.31
;Hameenlinna;20040220;2004;2;20;400000;6790000;-0.2;2.8;-9.1;0;4173.8;5.85
;Hameenlinna;20040221;2004;2;21;400000;6790000;-0.6;2.6;-2.1;0;2755.9;4.9
